,Borough,Pincode,Latitude,Longitude
0,Bazargate,400001,18.9387711,72.8353355
1,Kalbadevi,400002,18.949438914437167,72.82632445794587
2,B.P.Lane,400003,18.9516063,72.8347968
3,Ambewadi,400004,18.9543294,72.8217296
4,Asvini,400005,18.9168631,72.82431549794669
5,Malabar Hill,400006,18.9447897,72.7937762
6,Bharat Nagar,400007,18.9658877,72.81479742587862
7,Falkland Road,400008,18.96383865,72.83147114962492
8,Chinchbunder,400009,18.959644989210815,72.83852581550506
9,Dockyard Road,400010,19.0531224,73.0997386
10,Agripada,400011,19.016016491801174,72.86787175700003
11,BEST STaff Quarters,400012,18.996311,72.842493
12,Delisle Road,400013,19.0007781,72.8284305
13,Dadar Colony,400014,19.010619,72.846936
14,Sewri,400015,18.9987066240138,72.8510174448924
15,Kapad Bazar,400016,19.0293875,72.8417425
16,Dharavi Road,400017,19.0452991125,72.855320975
17,Worli Naka,400018,19.001361990788034,72.8207527134116
18,Matunga,400019,19.02659779170638,72.85696566378738
19,Central Building,400020,18.9305587,72.8341517
20,Nariman Point,400021,18.92597265,72.82420947276981
21,Chunabhatti,400022,19.041215,72.86909664899349
22,Nehru Nagar,400024,19.06230808305348,72.88212070682435
23,New Prabhadevi Road,400025,19.0150716,72.8264804
24,Cumballa Hill,400026,18.971212222302213,72.80854171387872
25,V J B Udyan,400027,18.97650971398132,72.83498829963011
26,Bhawani Shankar Rd,400028,18.9387711,72.8353355
27,A I Staff Colony,400029,19.15162244816581,72.85498103682772
28,Century Mill,400030,19.012654,72.8197647
29,Kidwai Nagar,400031,19.0108395,72.84972652577227
30,High Court Building,400032,18.9278633,72.8305787
31,Cotton Exchange,400033,18.9387711,72.8353355
32,Haji Ali,400034,18.9387711,72.8353355
33,Rajbhavan,400035,18.9387711,72.8353355
34,Antop Hill,400037,19.023074077966058,72.86762191085951
35,Bhandup East,400042,19.1303562,72.9380041
36,D.M. Colony,400043,18.9387711,72.8353355
37,Juhu,400049,19.1022358,72.8368756
38,Bandra West,400050,18.9387711,72.8353355
39,Audit Bhavan,400051,19.05821285,72.85176641447369
40,Danda,400052,19.07664623631676,72.83315059360132
41,Andheri,400053,19.144419550000002,72.82661210819862
42,Santacruz Central,400054,19.08001485,72.83324963759972
43,Santacruz(East),400055,19.081297306027743,72.8470787326277
44,IRLA,400056,19.0531224,73.0997386
45,Hanuman Road,400057,19.1000657,72.8453556
46,Andheri Railway Station,400058,19.12573235,72.84267477586994
47,J.B. Nagar,400059,19.113849156356533,72.86898985034006
48,Jogeshwari East,400060,19.136493898983797,72.8581677536538
49,Madh,400061,19.13373646053233,72.81487711581413
50,Goregaon East,400063,19.169250389007612,72.8555927494935
51,Liberty Garden,400064,19.1959418,72.83967684999999
52,Aareymilk Colony,400065,19.180136292367152,72.90881206880297
53,Borivali East,400066,19.229007442724786,72.86207247076649
54,Charkop,400067,19.20772265,72.8373895553008
55,Dahisar RS,400068,19.24797366065525,72.8593886372724
56,Andheri East,400069,19.130181654802666,72.8530796168885
57,Kurla North,400070,19.08047216682234,72.88358855261556
58,Chembur,400071,19.056131,72.894858
59,Sakinaka,400072,19.0986118,72.8865956
60,Chembur Extension,400074,19.0226963,72.9029641
61,Best Staff Colony,400075,19.091985700000002,72.91677167312055
62,Powai Iit,400076,19.1258815,72.91871130000001
63,Rajawadi,400077,19.0770411,72.9135965
64,Bhandup Ind. Estate,400078,19.1468164,72.9272759
65,Psm Colony,400079,19.10632685,72.91364110201987
66,Mulund Dd Road,400080,19.174433450000002,72.94853923015586
67,Mhada Colony,400081,19.173505849999998,72.95608049853666
68,Bhandup Complex,400082,19.172896496576104,72.93493041411237
69,Kannamwar Nagar,400083,19.118616,72.93459
70,Barve Nagar,400084,19.1192271,72.92180253333333
71,Ghatkopar West,400086,18.9387711,72.8353355
72,NITIE,400087,18.9387711,72.8353355
73,Govandi,400088,18.9387711,72.8353355
74,Chembur Rs,400089,18.9387711,72.8353355
75,Borivali,400091,19.230139574488753,72.83760136372048
76,Borivali West,400092,19.2061608,72.7852955
77,Chakala Midc,400093,19.1217752,72.8637528
78,Anushakti Nagar,400094,19.037527767647283,72.92814570708681
79,Ins Hamla,400095,19.189633,72.81846
80,Seepz,400096,19.123325168755553,72.87045137315096
81,Malad East,400097,19.184057854167982,72.85559011413633
82,Vidyanagari,400098,19.1090916,72.8607705
83,Airport,400099,19.1030656,72.8635601180166
84,Kandivali East,400101,19.2074875,72.86627613604665
85,Jogeshwari West,400102,19.1459793,72.8451792
86,Mandapeshwar,400103,19.238306350000002,72.84598246534367
87,Bangur Nagar,400104,19.1515749,72.84069279056939
